longitude,latitude,information,location
-117.08898,32.67664,"NATIONAL CITY CA 91950
(619) 336-1859",ARCO - 1606 PLAZA BLVD
-117.09285,32.58408,"SAN DIEGO CA 92154
(619) 429-0964",ARCO - 1890 PALM AVE
-117.09575,32.67007,"NATIONAL CITY CA 91950
(619) 477-1383",ARCO - 1734 HIGHLAND AVE
-117.09589,33.11596,"ESCONDIDO CA 92025
(760) 738-8591",ARCO - 100 LA TERRAZA BLVD
-117.09606,32.94754,"SAN DIEGO CA 92128
(858) 486-1782",ARCO - 12610 SABRE SPRINGS
-117.09719,33.14405,"ESCONDIDO CA 92026
(760) 716-6116",ARCO - 450 W EL NORTE PKWY
-117.09782,32.78997,"SAN DIEGO CA 92120
(619) 284-2181",ARCO - 6404 MISSION GORGE R
-117.09872,32.64001,"CHULA VISTA CA 91910
(619) 585-1048",ARCO - 765 E STREET
-117.10054,32.93785,"SAN DIEGO CA 92131
(858) 621-6337",ARCO - 12033A SCRIPPS SUMMIT DRIVE
-117.102012,33.48106,"TEMECULA CA 92592
(909) 303-1530",ARCO - 44239 MARGARITA RD
-117.10838,32.67558,"NATIONAL CITY CA 91950
(619) 474-5943",ARCO - 133 W 8TH STREET
-117.10857,32.58368,"IMPERIAL BEACH CA 91932
(619) 429-4628",ARCO - 1185 PALM AVE
-117.11824,32.89343,"SAN DIEGO CA 92126
(858) 693-7234",ARCO - 9393 KEARNEY MESA RD
-117.12183,33.13107,"ESCONDIDO CA 92029
(760) 738-7226",ARCO - 538 N NORDAHL RD
-117.12218,32.89911,"SAN DIEGO CA 92126
(858) 695-3894",ARCO - 9720 CARROLL CTR RD
-117.1237,32.74837,"SAN DIEGO CA 92104
(619) 280-0753",ARCO - 3255 UNIVERSITY AVE
-117.12757,33.19649,"ESCONDIDO CA 92026
(760) 737-9387",ARCO - 26915 MESA ROCK RD
-117.13764,32.83165,"SAN DIEGO CA 92123
(858) 569-0629",ARCO - 8820 CLAIRMONT MESA
-117.13993,32.70649,"SAN DIEGO CA 92102
(619) 702-4180",ARCO - 2502 IMPERIAL AVE
-117.14198,33.48126,"TEMECULA CA 92590
(951) 699-1520",ARCO - 44987 OLD TOWN FRONT STREET
-117.14864,33.53302,"TEMECULA CA 92591
(951) 506-9238",ARCO - 40212 WINCHESTER RD
-117.14917,33.50335,"TEMECULA CA 92591
(909) 699-5673",ARCO - 27691 YNEZ RD
-117.15393,33.74237,"ROMOLAND CA 92585
(951) 926-5132",ARCO - 26050 MENIFEE RD
-117.15853,33.15412,"SAN MS CA 92069
(760) 471-6277",ARCO - 1187 W SAN MARCOS BLVD
-117.17183,32.87793,"SAN DIEGO CA 92121
(858) 457-2718",ARCO - 6616 MIRAMAR RD
-117.17678,34.05681,"REDLANDS CA 92373
(909) 793-0698",ARCO - 539 E REDLANDS BLVD
-117.17871,33.937,"MORENO VALLEY CA 92555
(951) 485-0268",ARCO - 12611 MORENO BEACH D
-117.18239,34.0642,"REDLANDS CA 92374
(909) 307-6247",ARCO - 902 ORANGE STREET
-117.19078,33.68489,"MENIFEE CA 92584
(951) 679-2654",ARCO - 26925 NEWPORT ROAD
-117.193,32.74867,"SAN DIEGO CA 92110
(619) 291-1947",ARCO - 3860 OLD TOWN AVE
-117.20186,32.83141,"SAN DIEGO CA 92117
(858) 272-5274",ARCO - 4202 CLAIREMONT MESA
-117.20733,33.56334,"MURRIETA CA 92562
(951) 461-8688",ARCO - 24625 MADISON AVE
-117.20797,34.10769,"HIGHLAND CA 92346
(909) 864-5442",ARCO - 27323 5TH STREET
-117.21082,33.823,"PERRIS CA 92571
(951) 940-9200",ARCO - 23261 CAJALCO EXPRWY
-117.21191,32.74406,"SAN DIEGO CA 92110
(619) 226-1553",ARCO - 2940 LYTTON STREET
-117.21512,33.16617,"VISTA CA 92083
(760) 727-8965",ARCO - 625 SYCAMORE AVE
-117.22333,33.18469,"VISTA CA 92083
(760) 724-1660",ARCO - 1403 S SANTA FE AVE
-117.22468,33.78252,"PERRIS CA 92570
",ARCO - 268 E 4TH STREET
-117.22583,33.29013,"BONSALL CA 92003
(760) 726-2628",ARCO - 5555 MISSION RD
-117.22596,33.88146,"MORENO VALLEY CA 92551
(909) 247-2668",ARCO - 16466 PERRIS BLVD
-117.22616,33.84523,"PERRIS CA 92571
(951) 943-1330",ARCO - 4040 N PERRIS BLVD
-117.22617,34.04833,"LOMA LINDA CA 92354
(909) 335-9176",ARCO - 26526 BARTON RD
-117.22674,33.93898,"MORENO CA 92553
",ARCO - 24991 SUNNYMEAD
-117.22719,32.72684,"SAN DIEGO CA 92106
(619) 226-1553",ARCO - 1551 ROSECRANS STREET
-117.23908,32.93387,"SAN DIEGO CA 92130
(858) 793-0626",ARCO - 3170 CARMEL VALLEY R
-117.24032,33.16688,"VISTA CA 92081
(760) 599-7057",ARCO - 1590 S MELSROSE DRIVE
-117.24314,34.12115,"SAN BERNARDINO CA 92410
",ARCO - 25717 E BASELINE STREET
-117.24369,33.94013,"MORENO CA 92553
(951) 924-6361",ARCO - 12428 HEACOCK STREET
-117.24612,33.92491,"MORENO CA 92553
(951) 653-0605",ARCO - 23501 ALLESANDRO BLVD
-117.24723,33.59483,"WILDOMAR CA 92595
(951) 678-3355",ARCO - 36228 HIDDEN SPRG RD
-117.24763,32.74494,"OCEAN BEACH CA 92107
(619) 226-1108",ARCO - 1902 SUNSET CLIFFSLV
-117.2515,33.37183,"FALLBROOK CA 92028
(760) 723-0900",ARCO - 1161 S MAIN STREET
-117.25653,32.97954,"SOLANA BEACH CA 92075
(858) 481-2849",ARCO - 660 VIA DE LA VALLE
-117.2584,32.80868,"SAN DIEGO CA 92109
(858) 488-5746",ARCO - 833 TURQUOISE STREET
-117.25889,33.22027,"OCEANSIDE CA 92056
(760) 806-4445",ARCO - 1501 MELROSE DRIVE
-117.25948,33.94227,"MORENO VALLEY CA 92557
(951) 485-4849",ARCO - 23145 HEMLOCK AVE
-117.26106,34.06593,"SAN BERNARDINO CA 92408
(909) 478-1074",ARCO - 1945 S TIPPECANOE AVE
-117.26166,33.9174,"MORENO VALLEY CA 92553
(951) 653-6756",ARCO - 22990 ALLESANDRO BLVD
-117.27519,33.62755,"WILDOMAR CA 92595
(951) 245-1590",ARCO - 33986 ORANGE STREET
-117.27645,33.02583,"CARDIFF BY THE SEA CA 92007
(760) 580-9458",ARCO - 633 BIRMINGHAM DRIVE
-117.28101,34.16481,"SAN BERNARDINO CA 92404
",ARCO - 247 E 40TH STREET
-117.28593,33.91701,"RIVERSIDE CA 92508
(951) 656-2676",ARCO - 2624 E ALESSANDRO BLVD
-117.29268,33.1826,"OCEANSIDE CA 92056
(760) 724-6165",ARCO - 3804 PLAZA DRIVE
-117.29423,34.15109,"SAN BERNARDINO CA 92405
(909) 883-6285",ARCO - 3296 N E STREET
-117.2996,33.66067,"LAKE ELSINORE CA 92530
(951) 674-7465",ARCO - 250 DIAMOND DRIVE
-117.30061,34.12147,"SAN BERNARDINO CA 92408
(909) 381-9117",ARCO - 794 W BASELINE STREET
-117.30511,34.1359,"SAN BERNARDINO CA 92405
(909) 886-7036",ARCO - 995 W HIGHLAND AVE
-117.30595,34.04726,"COLTON CA 92324
",ARCO - 1240 E WASHINGTON STREET
-117.32284,33.24317,"OCEANSIDE CA 92054
(760) 966-0938",ARCO - 607 DOUGLAS DRIVE
-117.32931,33.66835,"LAKE ELSINORE CA 92530
(626) 967-4561",ARCO - 200 W GRAHAM STREET
-117.33468,34.16233,"SAN BERNARDINO CA 92407
(909) 880-6390",ARCO - 3890 N UNIVRSTY PKWY
-117.33783,33.15168,"CARLSBAD CA 92008
(760) 730-1549",ARCO - 810 TAMARACK AVE
-117.33904,34.13593,"SAN BERNARDINO CA 92407
(909) 473-0269",ARCO - 2187 W HIGHLAND AVE
-117.33974,33.97547,"RIVERSIDE CA 92507
",ARCO - 1294 UNIVERSITY AVE
-117.35042,33.88476,"RIVERSIDE CA 92508
(909) 776-0011",ARCO - 17905 VAN BUREN BLVD
-117.35376,33.19521,"OCEANSIDE CA 92054
(760) 754-3334",ARCO - 1990 OCEANSIDE BLVD
-117.3596,33.70596,"LAKE ELSINORE
(951) 471-1520",ARCO - 19930 COLLIER AVE
-117.36203,34.1929,"SAN BERNARDINO CA 92407
(909) 880-1549",ARCO - 3225 LITTLE LEAGUE
-117.3664,34.10689,"RIALTO CA 92376
(909) 874-3022",ARCO - 280 E FOOTHILL
-117.36831,34.04186,"BLOOMINGTON CA 92316
(951) 683-3945",ARCO - 3368 S RIVERSIDE AVE
-117.36969,33.6575,"LAKE ELSINORE CA 92530
(951) 245-2866",ARCO - 16851 LAKE SHORE DRIVE
-117.37051,34.09269,"RIALTO CA 92376
(909) 820-6607",ARCO - 484 S RIVERSIDE AVE
-117.37065,34.07035,"RIALTO CA 92376
(909) 874-3023",ARCO - 111 W VALLEY BLVD
-117.3796,33.97682,"RIVERSIDE CA 92501
",ARCO - 4395 MARKET STREET
-117.38382,33.20103,"OCEANSIDE CA 92054
(760) 439-1354",ARCO - 802 N COAST HWY
-117.38994,33.95343,"RIVERSIDE CA 92506
(951) 784-9046",ARCO - 3570 CENTRAL
-117.39285,33.95368,"RIVERSIDE CA 92506
(951) 787-8304",ARCO - 3659 CENTRAL AVE
-117.43229,34.01273,"RUBIDOUX CA 92509
(951) 685-9500",ARCO - 3685 VALLEY WAY
-117.43554,34.07082,"FONTANA CA 92335
(909) 357-0398",ARCO - 10087 SIERRA AVE
-117.43588,34.09236,"FONTANA CA 92335
(909) 822-0293",ARCO - 8898 SIERRA AVE
-117.44119,33.91395,"RIVERSIDE CA 92503
",ARCO - 3399 VAN BUREN BLVD
-117.45152,33.92619,"RIVERSIDE CA 92503
(951) 687-1653",ARCO - 4196 VAN BUREN BLVD
-117.45286,34.06315,"FONTANA CA 92337
(909) 822-4500",ARCO - 16120 SLOVER AVE
-117.45378,33.93508,"RIVERSIDE CA 92503
(909) 354-9131",ARCO - 4975 VAN BUREN BLVD
-117.45399,34.10668,"FONTANA CA 92335
(909) 829-6462",ARCO - 16090 FOOTHILL BLVD
-117.45423,33.93476,"RIVERSIDE CA 92503
(951) 352-0630",ARCO - 4930 VAN BUREN BLVD
-117.48768,34.1067,"FONTANA CA 92335
(909) 357-1392",ARCO - 14534 FOOTHILL BLVD
-117.48788,33.77449,"CORONA CA 92883
(951) 277-2955",ARCO - 23760 TEMESCAL CANYON RD
-117.49048,33.89564,"RIVERSIDE CA 92503
",ARCO - 11887 MAGNOLIA AVE
-117.50352,34.00605,"RIVERSIDE CA 92509
(951) 685-5949",ARCO - 10015 BELLEGRAVE AVE
-117.50608,34.1062,"FONTANA CA 92335
(909) 427-9589",ARCO - 8127 MULBERRY AVE
-117.5146,33.8821,"CORONA CA 92879
(951) 279-7547",ARCO - 3830 MCKINLEY STREET
-117.53772,34.13518,"RANCHO CUCAMONGA CA 91739
(909) 463-2882",ARCO - 12280 HIGHLAND AVE
-117.54272,34.07708,"ONTARIO CA 91764
(909) 481-1041",ARCO - 5020 E 4TH STREET
-117.54818,34.1066,"RANCHO CUCAMONGA CA 91730
(909) 476-0696",ARCO - 11768 FOOTHILL BLVD
-117.55747,33.93556,"NORCO CA 92860
",ARCO - 3700 HAMNER AVE
-117.55869,33.87451,"CORONA CA 92879
(951) 278-4390",ARCO - 702 E 6TH STREET
-117.55974,33.91972,"NORCO CA 92860
(951) 371-6571",ARCO - 2600 HAMNER AVE
-117.56355,33.89225,"CORONA CA 92880
(951) 734-2550",ARCO - 785 N MAIN STREET
-117.56723,33.86887,"CORONA CA 92882
(951) 340-3430",ARCO - 1205 S MAIN STREET
-117.57303,33.87597,"CORONA CA 92882
(951) 340-0028",ARCO - 624 W 6TH STREET
-117.57599,34.08535,"RANCHO CUCAMONGA CA 91730
(909) 980-3127",ARCO - 9280 HAVEN AVENUE
-117.58719,34.10516,"RANCHO CUCAMONGA CA 91730
(909) 941-2998",ARCO - 9805 6TH STREET
-117.58949,34.10681,"RANCHO CUCAMONGA CA 91730
(909) 476-0367",ARCO - 9888 FOOTHILL BLVD
-117.59358,33.86333,"CORONA CA 92882
(951) 280-3830",ARCO - 800 SERFAS CLUB DR/9
-117.59364,34.07086,"ONTARIO CA 91764
(909) 390-9299",ARCO - 729 N ARCHIBALD AVE
-117.59669,34.07617,"ONTARIO CA 91764
(951) 673-9673",ARCO - 905 S GROVE AVE
-117.59991,33.87918,"CORONA CA 92882
(951) 371-5261",ARCO - 1735 W 6TH STREET
-117.60564,33.63365,"SANTA MARGARITA CA 92688
(949) 546-0200",ARCO - 29880 SANTA MARGARITA PKWY
-117.61113,34.02898,"ONTARIO CA 91761
(909) 923-9633",ARCO - 2456 S VINEYARD AVE
-117.62065,34.07777,"ONTARIO CA 91764
(951) 988-9200",ARCO - 1565 E 4TH STREET
-117.62864,34.03518,"ONTARIO CA 91761
(909) 947-1642",ARCO - 2156 S GROVE AVE
-117.62938,34.07814,"ONTARIO CA 91764
(951) 986-7370",ARCO - 1245 E 4TH STREET
-117.64424,33.4411,"SAN CLEMENTE CA 92672
(949) 492-8722",ARCO - 2749 N EL CAMINO REAL
-117.65066,34.06745,"ONTARIO CA 91762
(909) 984-1522",ARCO - 434 N EUCLID AVE
-117.65118,34.02927,"ONTARIO CA 91762
(909) 986-1320",ARCO - 2430 S EUCLID AVE
-117.65656,33.45797,"SAN CLEMENTE CA 92672
(949) 489-1247",ARCO - 590 CAMINO DE ESTREL
-117.66047,34.10711,"UPLAND CA 91786
(909) 920-1188",ARCO - 775 W FOOTHILL BLVD
-117.66755,34.03171,"CHINO CA 91710
(909) 986-5770",ARCO - 12201 MOUNTAIN AVE
-117.66885,34.05624,"ONTARIO CA 91762
(909) 984-4206",ARCO - 1054 W. MISSION BLVD
-117.67005,34.10294,"UPLAND CA 91786
(909) 982-2785",ARCO - 782 N MOUNTAIN AVE
-117.67038,34.09906,"UPLAND CA 91786
(909) 579-0620",ARCO - 475 N MOUNTAIN AVE
-117.67573,33.59924,"MISSION VIEJO CA 92691
(949) 768-3464",ARCO - 26001 LA PAZ RD
-117.67883,33.61503,"MISSION VIEJO CA 92691
(949) 768-9229",ARCO - 23921 ALICIA PARKWAY
-117.68904,34.00509,"CHINO CA 91710
(909) 628-3512",ARCO - 13691 CENTRAL AVE
-117.68916,34.02877,"CHINO CA 91710
(909) 628-6089",ARCO - 12345 CENTRAL AVE
-117.68976,34.06985,"MONTCLAIR CA 91763
(909) 398-1720",ARCO - 10120 CENTRAL AVE
-117.68978,34.07818,"MONTCLAIR CA 91763
(909) 398-1891",ARCO - 9690 CENTRAL AVE
-117.68993,34.05567,"MONTCLAIR CA 91763
(909) 548-4445",ARCO - 5281 MISSION BLVD
-117.69001,33.97199,"CHINO CA 91709
(909) 393-9146",ARCO - 5280 FAIRFIELD RANCH
-117.69782,34.07384,"MONTCLAIR CA 91763
(909) 445-0444",ARCO - 4910 HOLT BLVD
-117.70702,34.03335,"CHINO CA 91710
(909) 591-2527",ARCO - 12100 RAMONA AVE
-117.70804,33.56484,"LAGUNA NIGUEL CA 92677
(949) 831-4108",ARCO - 27491 LA PAZ RD
-117.71457,33.98249,"CHINO CA 91709
(909) 393-8826",ARCO - 4123 CHINO HILLS PIKE
-117.72136,33.87197,"YORBA LINDA CA 92887
(714) 692-1653",ARCO - 23611 LA PALMA AVE
-117.73137,34.02697,"POMONA CA 91766
(909) 591-3534",ARCO - 2488 RESERVOIR STREET
-117.73666,34.09051,"POMONA CA 91767
(909) 625-1593",ARCO - 2510 N TOWNE AVE
-117.73686,34.06257,"POMONA CA 91767
(909) 623-8020",ARCO - 698 E HOLT AVE
-117.73943,34.10734,"POMONA CA 91766
(909) 447-4161",ARCO - 539 E FOOTHILL BLVD
-117.74051,34.02596,"POMONA CA 91766
(909) 621-5317",ARCO - 2505 TOWNE AVE
-117.74924,34.0267,"POMONA CA 91766
(909) 591-7845",ARCO - 2475 S GAREY AVE
-117.74942,34.04388,"POMONA CA 91766
(909) 868-7125",ARCO - 1510 GAREY AVE
-117.78016,33.65419,"IRVINE CA 92603
(714) 231-3141",ARCO - 6501 QUAIL HILL PKWY
-117.82227,33.7879,"ORANGE CA 92869
(714) 633-9032",ARCO - 2937 E CHAPMAN AVE.
-117.82524,33.73534,"TUSTIN CA 92780
(714) 838-3879",ARCO - 14121 NEWPORT AVE
-117.82943,34.10688,"SAN DIMAS CA 91773
(909) 592-3561",ARCO - 1115 W ARROW HWY
-117.8359,33.78821,"ORANGE CA 92867
(714) 997-9381",ARCO - 100 N TUSTIN AVE
-117.84191,33.90438,"PLACENTIA CA 92870
(714) 993-0070",ARCO - 1201 E IMPERIAL HWY
-117.84549,33.80927,"ORANGE CA 92867
(714) 538-7160",ARCO - 825 E KATELLA AVE
-117.84734,34.10687,"GLENDORA CA 91740
(626) 335-5367",ARCO - 857 E ARROW HWY
-117.84743,33.96773,"DIAMOND BAR CA 91765
(909) 598-8622",ARCO - 3302 S DIAMOND BAR BLVD
-117.84942,33.70873,"SANTA ANA CA 92705
(949) 955-9555",ARCO - 1727 E DYER RD
-117.85056,33.74302,"SANTA ANA CA 92701
(714) 541-0788",ARCO - 324 S GRAND AVE
-117.85313,33.81134,"ORANGE CA 92867
(714) 771-6022",ARCO - 1448 N GLASSELL STREET
-117.85323,33.79462,"ORANGE CA 92866
(714) 633-9374",ARCO - 480 N GLASSELL STREET
-117.85342,33.7454,"SANTA ANA CA 92701
(714) 953-6918",ARCO - 1222 E FIRST STREET
-117.85629,33.72805,"SANTA ANA CA 92707
(714) 973-0569",ARCO - 1539 S STANDARD AVE
-117.86342,34.12895,"GLENDORA CA 91740
(626) 335-6716",ARCO - 103 E ALOSTA AVE
-117.86559,33.88779,"PLACENTIA CA 92870
(714) 996-5071",ARCO - 102 E YORBA LINDA BLVD
-117.86775,33.71653,"SANTA ANA CA 92707
(714) 751-2187",ARCO - 2245 S MAIN STREET
-117.86987,33.74532,"SANTA ANA CA 92701
(714) 836-5553",ARCO - 302 W FIRST STREET
-117.87039,33.99735,"WALNUT CA 91789
(909) 598-3552",ARCO - 1010 FAIRWAY DRIVE
-117.87388,33.66074,"NEWPORT BEACH CA 92660
(949) 756-1731",ARCO - 2100 SE BRISTOL STREET
-117.87903,33.87442,"FULLERTON CA 92831
(714) 993-9111",ARCO - 401 N PLACENTIA AVE
-117.88076,33.91059,"FULLERTON CA 92835
(714) 529-6433",ARCO - 2840 E IMPERIAL HWY
-117.88144,33.81822,"ANAHEIM CA 92806
(714) 772-9352",ARCO - 2445 E BALL RD
-117.88187,33.66665,"COSTA MESA CA 92626
(714) 549-1849",ARCO - 300 BRISTOL STREET
-117.88496,33.75165,"SANTA ANA CA 92703
(714) 541-1665",ARCO - 801 N BRISTOL STREET
-117.88831,33.67959,"COSTA MESA CA 92626
(714) 545-1132",ARCO - 751A BAKER STREET
-117.88841,33.67051,"COSTA MESA CA 92626
(714) 966-3003",ARCO - 3003 NEWPORT BLVD
-117.89105,33.8598,"FULLERTON CA 92831
(714) 446-9701",ARCO - 2351 E ORANGETHORPE AVE
-117.89692,33.75975,"SANTA ANA CA 92706
(714) 543-2288",ARCO - 2016 W 17TH STREET
-117.90012,33.82989,"ANAHEIM CA 92805
(714) 772-1836",ARCO - 727 S EAST STREET
-117.90021,33.91623,"BREA CA 92821
(714) 529-9816",ARCO - 120 E IMPERIAL HWY
-117.90546,33.7344,"SANTA ANA CA 92704
(714) 641-0640",ARCO - 2730 W MCFADDEN AVE
-117.90656,33.85944,"FULLERTON CA 92831
(714) 526-4855",ARCO - 1202 E ORANGETHORPE
-117.90746,33.66327,"COSTA MESA CA 92626
(714) 850-0663",ARCO - 2490 FAIRVIEW RD
-117.9075,34.07569,"WEST COVINA CA 91791
(626) 332-3404",ARCO - 300 N AZUSA AVE
-117.91324,33.64787,"COSTA MESA CA 92627
(949) 631-2734",ARCO - 2021 NEWPORT BLVD
-117.91762,34.02401,"LA PUENTE CA 91744
(626) 913-0685",ARCO - 362 N AZUSA AVE
-117.92306,34.01351,"LA PUENTE CA 91744
(626) 810-4792",ARCO - 447 S AZUSA AVE
-117.92472,34.0893,"COVINA CA 91722
(626) 967-8050",ARCO - 1680 W SAN BERNARDINO RD
-117.93114,33.92478,"LA HABRA CA 90631
(562) 690-7444",ARCO - 1401 E LAMBERT RD
-117.93191,33.64332,"COSTA MESA CA 92627
(949) 650-1960",ARCO - 799 W 19TH STREET
-117.93802,33.76672,"GARDEN GROVE CA 92843
(714) 638-4592",ARCO - 13511 EUCLID STREET
-117.93804,33.76914,"GARDEN GROVE CA 92843
(714) 534-7557",ARCO - 13331 EUCLID STREET
-117.94193,33.84696,"ANAHEIM CA 92801
(714) 774-3023",ARCO - 1700 W LA PALMA AVE
-117.95388,33.69335,"FOUNTAIN VALLEY CA 92708
(714) 963-0816",ARCO - 18520 BROOKHURST STREET
-117.95396,33.69475,"FOUNTAIN VALLEY CA 92708
(714) 968-6050",ARCO - 18480 BROOKHURST STREET
-117.95473,33.76706,"GARDEN GROVE CA 92843
(714) 534-2530",ARCO - 13482 BROOKHURST STREET
